id,kingdom,phylum,class,order,family,genus,scientific_name,taxonomic_authority,infra_rank,infra_name,category,common_name
34309,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,ANDIRA,ANDIRA GALEOTTIANA,STANDL.,NULL,NULL,LC,MACAYO
34310,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,SIDEROXYLON,SIDEROXYLON BULLATUM,(R.A.HOWARD AND PROCTOR) T.D.PENN.,NULL,NULL,VU,NULL
34311,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,ZANTHOXYLUM,ZANTHOXYLUM HARRISII,P.WILSON,NULL,NULL,VU,NULL
34312,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,ZANTHOXYLUM,ZANTHOXYLUM HARTII,(KRUG AND URB.) P.WILSON,NULL,NULL,VU,NULL
34313,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,ZANTHOXYLUM,ZANTHOXYLUM NEGRILENSE,FAWC. AND RENDLE,NULL,NULL,EN,NULL
34314,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,OLEACEAE,CHIONANTHUS,CHIONANTHUS CAYMANENSIS VAR. LONGIPETALA,G.R.PROCTOR,VAR.,LONGIPETALA,EN,IRONWOOD
34315,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BORAGINALES,CORDIACEAE,CORDIA,CORDIA SEBESTENA VAR. CAYMANENSIS,(URB.) PROCTOR,VAR.,CAYMANENSIS,VU,BROADLEAF
34316,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BIGNONIACEAE,COLEA,COLEA COLEI,(BOJER EX HOOK.) M.L.GREEN,NULL,NULL,EN,NULL
34317,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,PANDANALES,PANDANACEAE,PANDANUS,PANDANUS PALUSTRIS,THOUARS,NULL,NULL,CR,NULL
34318,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,RHIZOPHORACEAE,CASSIPOUREA,CASSIPOUREA THOMASSETII,ALSTON,NULL,NULL,VU,NULL
34319,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,PIMENTA,PIMENTA HAITIENSIS,(URBAN) LANDRUM,NULL,NULL,VU,NULL
34320,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,ASTRONIDIUM,ASTRONIDIUM LEPIDOTUM,A.C.SM.,NULL,NULL,CR,NULL
34321,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,ARAUCARIACEAE,AGATHIS,AGATHIS MACROPHYLLA,(LINDL.) MAST.,NULL,NULL,EN,FIJIAN KAURI PINE
34322,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,BIXACEAE,COCHLOSPERMUM,COCHLOSPERMUM TETRAPORUM,HALLIER F.,NULL,NULL,EN,ÁRBOL DE PAPEL
34323,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,PROSOPIS,PROSOPIS ABBREVIATA,BENTH.,NULL,NULL,VU,ALGARROBILLO ESPINOSO
34324,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,AXINAEA,AXINAEA PAUCIFLORA,COGN.,NULL,NULL,VU,NULL
34325,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,AXINAEA,AXINAEA SCLEROPHYLLA,TRIANA,NULL,NULL,VU,NULL
34326,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,AXINAEA,AXINAEA SESSILIFOLIA,TRIANA,NULL,NULL,EN,NULL
34327,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,BLAKEA,BLAKEA OLDEMANII,WURDACK,NULL,NULL,VU,NULL
34328,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,BRACHYOTUM,BRACHYOTUM GLEASONII,WURDACK,NULL,NULL,VU,NULL
34329,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MERIANIA,MERIANIA AMPLA,WURDACK,NULL,NULL,EN,NULL
34330,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MERIANIA,MERIANIA CAMPII,WURDACK,NULL,NULL,EN,NULL
34331,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MERIANIA,MERIANIA CUNEIFOLIA SUBSP. CUNEIFOLIA,NULL,SUBSP.,CUNEIFOLIA,VU,NULL
34332,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MERIANIA,MERIANIA CUNEIFOLIA SUBSP. SUBANDINA,WURDACK,SUBSP.,SUBANDINA,VU,NULL
34333,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MERIANIA,MERIANIA DRAKEI SUBSP. CHONTALENSIS,WURDACK,SUBSP.,CHONTALENSIS,VU,NULL
34334,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MERIANIA,MERIANIA DRAKEI SUBSP. DRAKEI,NULL,SUBSP.,DRAKEI,VU,NULL
34335,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MERIANIA,MERIANIA FURVANTHERA,WURDACK,NULL,NULL,VU,NULL
34336,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MERIANIA,MERIANIA PICHINCHENSIS,WURDACK,NULL,NULL,VU,NULL
34337,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MERIANIA,MERIANIA RIGIDA,(BENTH.) TRIANA,NULL,NULL,VU,NULL
34338,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA BARBIPILIS,GLEASON,NULL,NULL,EN,NULL
34339,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA BENEOLENS,WURDACK,NULL,NULL,EN,NULL
34340,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA BIPATRIALIS,WURDACK,NULL,NULL,VU,NULL
34341,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA CAJANUMANA,WURDACK,NULL,NULL,VU,NULL
34342,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA CAMPII,WURDACK,NULL,NULL,VU,NULL
34343,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA CASTILLENSIS,WURDACK,NULL,NULL,VU,NULL
34344,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA DISSIMULANS,WURDACK,NULL,NULL,VU,NULL
34345,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA DODSONII,WURDACK,NULL,NULL,EN,NULL
34346,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA GLANDULISTYLA,WURDACK,NULL,NULL,LC,NULL
34347,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA HUIGRENSIS,WURDACK,NULL,NULL,VU,NULL
34348,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA MEDIOCRIS,WURDACK,NULL,NULL,VU,NULL
34349,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA NAMANDENSIS,WURDACK,NULL,NULL,VU,NULL
34350,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA POORTMANNII,(COGN.) WURDACK,NULL,NULL,VU,NULL
34351,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA RIMBACHII,WURDACK,NULL,NULL,VU,NULL
34352,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA SODIROI,WURDACK,NULL,NULL,VU,NULL
34353,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,MICONIA,MICONIA VILLONACENSIS,WURDACK,NULL,NULL,EN,NULL
34354,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,TIBOUCHINA,TIBOUCHINA GLEASONIANA,WURDACK,NULL,NULL,VU,NULL
34355,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,ANNONA,ANNONA BAHIENSIS,(MAAS AND WESTRA) H.RAINER,NULL,NULL,LC,NULL
34356,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,URTICACEAE,COUSSAPOA,COUSSAPOA FLOCCOSA,AKKERMANS AND BERG,NULL,NULL,VU,NULL
34357,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,URTICACEAE,COUSSAPOA,COUSSAPOA CURRANII,BLAKE,NULL,NULL,VU,NULL
34359,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,JUGLANDACEAE,JUGLANS,JUGLANS AUSTRALIS,GRISEB.,NULL,NULL,LR/NT,NOGAL DEL MONTE
34360,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,PARASENEGALIA,PARASENEGALIA VISCO,(LORENTZ EX GRISEB.) SEIGLER AND EBINGER,NULL,NULL,LR/LC,ARCA
34361,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,POISSONIA,POISSONIA HYPOLEUCA,(SPEG.) LILLO,NULL,NULL,VU,NULL
34362,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,MELIACEAE,AGLAIA,AGLAIA LAWII,(WIGHT) C.J.SALDANHA,NULL,NULL,LR/LC,NULL
34363,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,MELIACEAE,AGLAIA,AGLAIA SPECTABILIS,(MIQ.) JAIN AND BENNET,NULL,NULL,LC,NULL
34364,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,MELIACEAE,AGLAIA,AGLAIA CUCULLATA,(ROXB.) PELLEGR.,NULL,NULL,DD,PACIFIC MAPLE
34365,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,CUNONIACEAE,ACSMITHIA,ACSMITHIA VITIENSE,(A.GRAY) HOOGLAND,NULL,NULL,EN,NULL
34366,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,CUNONIACEAE,GEISSOIS,GEISSOIS TERNATA VAR. SERRATA,A.C.SM.,VAR.,SERRATA,CR,NULL
34367,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,CUNONIACEAE,GEISSOIS,GEISSOIS TERNATA VAR. MINOR,A.C.SM.,VAR.,MINOR,EN,NULL
34368,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,DEGENERIACEAE,DEGENERIA,DEGENERIA ROSEIFLORA,JOHN M.MILL.,NULL,NULL,LR/NT,NULL
